year,county_5dcode,pop
1969,22117,41735
1969,22119,39560
1969,22121,16622
1969,22123,12941
1969,22125,10536
1969,22127,16329
1969,23001,90327
1969,23003,93762
1969,23005,190010
1969,23007,21959
1969,23009,33913
1969,23011,94289
1969,23013,28408
1969,23015,20184
1969,23017,42874
1969,23019,123876
1969,23021,16202
1969,23023,23080
1969,23025,39961
1969,23027,22845
1969,23029,29612
1969,23031,109307
1969,24001,83959
1969,24003,291442
1969,24005,611596
1969,24009,19849
1969,24011,19334
1969,24013,67610
1969,24015,52356
1969,24017,45812
1969,24019,28930
1969,24021,83556
1969,24023,21020
1969,24025,112331
1969,24027,58346
1969,24029,15769
1969,24031,515859
1969,24033,646100
1969,24035,18056
1969,24037,45721
1969,24039,18856
1969,24041,23623
1969,24043,103059
1969,24045,52992
1969,24047,23927
1969,24510,904418
1969,25001,95089
1969,25003,148442
1969,25005,441360
1969,25007,5938
1969,25009,633523
1969,25011,58834
1969,25013,459146
1969,25015,122531
1969,25017,1391376
1969,25019,3709
1969,25021,605772
1969,25023,328751
1969,25025,731927
1969,25027,633037
1969,26001,6822
1969,26003,8640
1969,26005,65317
1969,26007,30219
1969,26009,12200
1969,26011,10842
1969,26013,7818
1969,26015,37608
1969,26017,116651
1969,26019,8565
1969,26021,163150
1969,26023,37339
1969,26025,142741
1969,26027,43151
1969,26029,16200
1969,26031,16185
1969,26033,31892
1969,26035,16214
1969,26037,48313
1969,26039,6334
1969,26041,35483
1969,26043,23657
1969,26045,67758
1969,26047,17736
1969,26049,443951
1969,26051,13119
1969,26053,20702
1969,26055,38173
1969,26057,38844
1969,26059,36504
1969,26061,33907
1969,26063,33431
1969,26065,259899
1969,26067,45157
1969,26069,24045
1969,26071,13970
1969,26073,43271
1969,26075,143076
1969,26077,201531
1969,26079,5209
1969,26081,410638
1969,26083,2165
1969,26085,5292
1969,26087,51246
1969,26089,10854
1969,26091,81378
1969,26093,57522
1969,26095,6548
1969,26097,9437
1969,26099,621364
1969,26101,19961
1969,26103,63396
1969,26105,21849
1969,26107,27313
1969,26109,24413
1969,26111,62992
1969,26113,6681
1969,26115,117786
1969,26117,39125
